,ID,Comp,Abstract,Importance,,实验二模型评估等级
4499,5349,Debug,classcastexceptions cause breakpointmanager ,P1 blocker (vote)  ,,1
4645,5495,Debug,breakpoint instal filename have ,P1 blocker (vote)  ,,1
6482,7332,SWT,crash startup redhat ,P1 blocker (vote)  ,,1
6484,7334,SWT,crash startup redhat ,P1 blocker (vote)  ,,1
6521,7371,Resources,software mechanism rollup do start report error ,P1 blocker (vote)  ,,1
6737,7587,Debug,launching abar fails ,P1 blocker (vote)  ,,1
8799,9649,Debug,rebuild return ,P1 blocker (vote)  ,,1
731,1567,Debug,build cause code replace failure gdhch ,P1 critical (vote)  ,,1
743,1579,Debug,failure initialize target geigm ,P1 critical (vote)  ,,1
903,1739,Debug,save java class error confuses code replace gkxlw ,P1 critical (vote)  ,,1
913,1749,UI,debugger do show source type generate fail execute glvmq ,P1 critical (vote)  ,,1
914,1750,Debug,place breakpoint run eclipse eclipse glfrg ,P1 critical (vote)  ,,1
915,1751,Debug,miss style range output glrl ,P1 critical (vote)  ,,1
918,1754,Debug,swterror change breakpoint attribute use property sheet glcks ,P1 critical (vote)  ,,1
923,1759,Debug,widget be dispose error breakpoint property glena ,P1 critical (vote)  ,,1
1217,2053,UI,contribute view startup plugin gdvl ,P1 critical (vote)  ,,1
1431,2267,Resources,build problem error dialog gehgwd ,P1 critical (vote)  ,,1
3187,4023,Debug,user save build run ggcbo ,P1 critical (vote)  ,,1
4635,5485,Debug,miss launcher use history ,P1 critical (vote)  ,,1
4735,5585,Debug,error step thread stack ,P1 critical (vote)  ,,1
4985,5835,Debug,code assist crash scrapbook ,P1 critical (vote)  ,,1
5011,5861,Debug,npe hit breakpoint ,P1 critical (vote)  ,,1
5032,5882,Debug,suspend hit breakpoint ,P1 critical (vote)  ,,1
5091,5941,Debug,swap fail method stack ,P1 critical (vote)  ,,1
5337,6187,Debug,swap cause eclipse crash ,P1 critical (vote)  ,,1
5378,6228,Debug,error run debug mode integration build ,P1 critical (vote)  ,,1
5398,6248,Debug,error reporting javaapplicationlauncher ,P1 critical (vote)  ,,1
5539,6389,Debug,system thread suspend startup ,P1 critical (vote)  ,,1
5543,6393,Debug,stack show breakpoint hit ,P1 critical (vote)  ,,1
5597,6447,Debug,class breakpoints hit ,P1 critical (vote)  ,,1
5618,6468,Debug,crash perform replace ,P1 critical (vote)  ,,1
5668,6518,Debug,error do evaluation ,P1 critical (vote)  ,,1
5670,6520,Resources,error type location jre ,P1 critical (vote)  ,,1
5748,6598,Debug,problem use workspace build ,P1 critical (vote)  ,,1
5758,6608,Debug,error report fail launch recognize launcher ,P1 critical (vote)  ,,1
5888,6738,Debug,error jdwp ,P1 critical (vote)  ,,1
